,Nompremier,Nomdeux,Score,Genre
119,['Blue Gender'],['Mobile Suit Gundam 0080: War in the Pocket'],4,"[' Space', ' Mecha', ' Drama', ' Sci-Fi']"
120,['Blue Gender'],['Mobile Suit Gundam: The 08th MS Team'],6,"[' Romance', 'Adventure', ' Military', ' Mecha', ' Sci-Fi', ' Drama']"
121,['Blue Gender'],['Mobile Suit Gundam'],4,"[' Space', ' Military', ' Mecha', ' Sci-Fi']"
122,['Blue Gender'],['Soukyuu no Fafner: Dead Aggressor'],4,"[' Sci-Fi', ' Military', ' Mecha', ' Drama']"
123,['Chobits'],['Shuffle!'],5,"[' Romance', ' Seinen', ' Ecchi', ' Comedy', ' Drama']"
124,['Chobits'],['DearS'],4,"[' Romance', ' Ecchi', 'Sci-Fi', ' Comedy']"
125,['Chrno Crusade'],['Basilisk: Kouga Ninpou Chou'],4,"[' Historical', ' Romance', ' Supernatural', 'Action']"
126,['D.N.Angel'],['Chou Henshin Cosprayers'],4,"[' Magic', 'Action', ' Fantasy', ' Comedy']"
127,['D.N.Angel'],['Akazukin Chacha'],5,"[' Romance', ' Fantasy', ' Comedy', ' Magic', ' Shoujo']"
128,['D.N.Angel'],['Shin Shirayuki-hime Densetsu Prétear'],4,"[' Magic', ' Romance', ' Fantasy', ' Shoujo']"
129,['D.N.Angel'],['Mai-HiME'],6,"[' Romance', ' Fantasy', ' Comedy', ' Magic', ' School', 'Action']"
130,['D.N.Angel'],['Shuffle!'],5,"[' Romance', ' Fantasy', ' Comedy', ' Magic', ' School']"
131,['D.C.: Da Capo'],['Shuffle!'],4,"[' Drama', ' Romance', ' Magic', 'Harem']"
132,['Rozen Maiden'],['Mai-HiME'],4,"['Action', ' Drama', ' Magic', ' Comedy']"
133,['Rozen Maiden'],['Shuffle!'],4,"[' Magic', ' Drama', ' Seinen', ' Comedy']"
134,['Rozen Maiden'],"[""Mahou Shoujo Lyrical Nanoha A's""]",4,"['Action', ' Drama', ' Magic', ' Comedy']"
135,['Rozen Maiden'],['Mahou Shoujo Lyrical Nanoha'],4,"['Action', ' Drama', ' Magic', ' Comedy']"
136,['Rozen Maiden'],['Rozen Maiden: Träumend'],5,"[' Seinen', ' Comedy', ' Magic', ' Drama', 'Action']"
137,['Rozen Maiden: Träumend'],['Mai-HiME'],4,"['Action', ' Drama', ' Magic', ' Comedy']"
138,['Rozen Maiden: Träumend'],['Shuffle!'],4,"[' Magic', ' Drama', ' Seinen', ' Comedy']"
139,['Rozen Maiden: Träumend'],"[""Mahou Shoujo Lyrical Nanoha A's""]",4,"['Action', ' Drama', ' Magic', ' Comedy']"
140,['Rozen Maiden: Träumend'],['Mahou Shoujo Lyrical Nanoha'],4,"['Action', ' Drama', ' Magic', ' Comedy']"
141,['Full Metal Panic!'],['Turn A Gundam'],4,"[' Sci-Fi', ' Military', ' Mecha', 'Action']"
142,['Full Metal Panic!'],['Mobile Suit Gundam SEED Destiny'],4,"[' Sci-Fi', ' Military', ' Mecha', 'Action']"
143,['Full Metal Panic!'],['Mobile Suit Gundam SEED'],4,"[' Sci-Fi', ' Military', ' Mecha', 'Action']"
144,['Full Metal Panic!'],['Mobile Suit Gundam Wing: Endless Waltz'],4,"[' Sci-Fi', ' Military', ' Mecha', 'Action']"
145,['Full Metal Panic!'],['Mobile Suit Gundam Wing'],4,"[' Sci-Fi', ' Military', ' Mecha', 'Action']"
146,['Full Metal Panic!'],['Mobile Suit Gundam ZZ'],4,"[' Sci-Fi', ' Military', ' Mecha', ' Comedy']"
147,['Full Metal Panic!'],['Mobile Suit Gundam'],4,"[' Sci-Fi', ' Military', ' Mecha', 'Action']"
148,['Full Metal Panic!'],['Soukyuu no Fafner: Dead Aggressor'],4,"[' Sci-Fi', ' Military', ' Mecha', 'Action']"
149,['Soukyuu no Fafner: Dead Aggressor'],['Turn A Gundam'],5,"[' Military', ' Mecha', ' Sci-Fi', ' Drama', 'Action']"
